S No.,Manufacturer/Importer Name and address,License Number,Name of Device and Device Class,Intended Use,Brand Name,Model Numbers,Issuing Authority,Action,Address,Intended,Price (INR),Specifications / Details
456,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2021/00464 Issued on: 15-APR-2021,"High-Speed Dental Handpiece, class type: Class B",A rotary instrument used by dentists for cavity preparation and tooth reduction.,RotorDent-X,RotorDent-3637X,SLA - Telangana,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A rotary instrument used by dentists for cavity preparation and tooth reduction.,6000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
457,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2023/00847 Issued on: 18-JAN-2023,"High-Speed Dental Handpiece, class type: Class B",A rotary instrument used by dentists for cavity preparation and tooth reduction.,RotorDent-Plus,RotorDent-4154B,SLA - Telangana,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A rotary instrument used by dentists for cavity preparation and tooth reduction.,13000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
458,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2019/00900 Issued on: 15-NOV-2019,"High-Speed Dental Handpiece, class type: Class B",A rotary instrument used by dentists for cavity preparation and tooth reduction.,RotorDent-Pro,RotorDent-8125B,SLA - Gujarat,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",A rotary instrument used by dentists for cavity preparation and tooth reduction.,4900,Dimensions: Standard | Weight: Varies | Refer to manual for specs
459,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2024/00640 Issued on: 21-AUG-2024,"High-Speed Dental Handpiece, class type: Class B",A rotary instrument used by dentists for cavity preparation and tooth reduction.,RotorDent-Basic,RotorDent-2464X,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",A rotary instrument used by dentists for cavity preparation and tooth reduction.,4400,Dimensions: Standard | Weight: Varies | Refer to manual for specs
460,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2021/00424 Issued on: 21-NOV-2021,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-X,CamDent-5801,SLA - Telangana,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,31000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
461,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2020/00213 Issued on: 06-MAR-2020,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Advance,CamDent-2266X,CLA - CDSCO,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,32000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
462,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2021/00830 Issued on: 22-NOV-2021,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Advance,CamDent-5219X,CLA - CDSCO,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,32000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
463,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2022/00786 Issued on: 17-AUG-2022,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-X,CamDent-9883B,CLA - CDSCO,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,32000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
464,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2023/00118 Issued on: 18-JUL-2023,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Plus,CamDent-7426B,SLA - Gujarat,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,27000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
465,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2024/00852 Issued on: 13-FEB-2024,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Plus,CamDent-8634B,SLA - Karnataka,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,11000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
466,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2022/00488 Issued on: 25-SEP-2022,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-X,CamDent-9359B,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,24000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
467,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2020/00642 Issued on: 15-OCT-2020,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Max,CamDent-8460B,SLA - Karnataka,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,36000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
468,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2019/00338 Issued on: 08-FEB-2019,"Intraoral Camera, class type: Class B",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,CamDent-Max,CamDent-8655A,SLA - Karnataka,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",A small camera used to capture high-resolution images inside the patient's mouth for diagnosis and patient education.,11000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
469,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2024/00259 Issued on: 23-MAY-2024,"Intraoral X-Ray Machine, class type: Class C",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,XRayDent-Pro,XRayDent-5989B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,110000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
470,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2021/00558 Issued on: 03-JUN-2021,"Intraoral X-Ray Machine, class type: Class C",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,XRayDent-Ultra,XRayDent-3750X,SLA - Delhi,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,150000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
471,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2019/00794 Issued on: 09-DEC-2019,"Intraoral X-Ray Machine, class type: Class C",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,XRayDent-Max,XRayDent-9981B,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,94000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
472,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2018/00884 Issued on: 25-NOV-2018,"Intraoral X-Ray Machine, class type: Class C",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,XRayDent-Plus,XRayDent-7916A,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used to capture radiographic images of the teeth and surrounding structures inside the mouth.,210000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
473,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2023/00948 Issued on: 22-OCT-2023,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Elite,CureLight-8515B,SLA - Karnataka,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,5300,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
474,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2020/00519 Issued on: 11-NOV-2020,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Elite,CureLight-7053A,SLA - Maharashtra,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,7500,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
475,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2024/00178 Issued on: 05-OCT-2024,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Ultra,CureLight-8285B,SLA - Karnataka,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,3300,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
476,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2018/00879 Issued on: 15-JUN-2018,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Basic,CureLight-8509,CLA - CDSCO,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,5800,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
477,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2021/00564 Issued on: 14-DEC-2021,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-X,CureLight-9270,SLA - Karnataka,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,6500,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
478,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2018/00665 Issued on: 22-JUN-2018,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Max,CureLight-5800X,CLA - CDSCO,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,4500,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
479,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2018/00985 Issued on: 23-JUL-2018,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-X,CureLight-8963B,SLA - Delhi,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,5100,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
480,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2021/00516 Issued on: 12-DEC-2021,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-X,CureLight-1238X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,9700,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
481,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2024/00201 Issued on: 08-JUN-2024,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Max,CureLight-2428X,CLA - CDSCO,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,7800,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
482,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2018/00850 Issued on: 16-NOV-2018,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Pro,CureLight-3025,SLA - Delhi,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,6700,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
483,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2019/00424 Issued on: 21-APR-2019,"Light Cure Unit, class type: Class B",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,CureLight-Max,CureLight-4443,CLA - CDSCO,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Emits visible blue light to polymerize and cure light-activated dental restorative materials.,7100,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
484,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2022/00484 Issued on: 22-JUL-2022,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Pro,OrthoBrace-8802X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,1900,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
485,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2018/00778 Issued on: 23-NOV-2018,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Elite,OrthoBrace-5531B,SLA - Maharashtra,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,1700,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
486,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2024/00890 Issued on: 25-NOV-2024,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Pro,OrthoBrace-9344X,SLA - Tamil Nadu,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,2400,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
487,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2023/00327 Issued on: 24-FEB-2023,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Advance,OrthoBrace-9813A,SLA - Maharashtra,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,570,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
488,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2020/00286 Issued on: 04-APR-2020,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Pro,OrthoBrace-7137B,SLA - Delhi,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,1300,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
489,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2023/00776 Issued on: 23-MAY-2023,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Elite,OrthoBrace-2924,SLA - Delhi,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,1100,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
490,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2023/00444 Issued on: 08-JAN-2023,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-Elite,OrthoBrace-1929X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,2300,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
491,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2024/00336 Issued on: 11-SEP-2024,"Orthodontic Brackets, class type: Class B",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,OrthoBrace-X,OrthoBrace-9817X,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Small devices attached to teeth to hold archwires in place during orthodontic treatment.,3000,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
492,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2021/00707 Issued on: 15-DEC-2021,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Plus,ForcepsPro-3818X,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Surgical instruments used to extract teeth from the alveolar bone.,780,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
493,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2023/00271 Issued on: 17-OCT-2023,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Elite,ForcepsPro-2821A,SLA - Karnataka,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Surgical instruments used to extract teeth from the alveolar bone.,870,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
494,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2021/00190 Issued on: 08-JAN-2021,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Plus,ForcepsPro-7263B,SLA - Tamil Nadu,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Surgical instruments used to extract teeth from the alveolar bone.,430,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
495,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2021/00747 Issued on: 07-APR-2021,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Elite,ForcepsPro-8729X,SLA - Telangana,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Surgical instruments used to extract teeth from the alveolar bone.,1400,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
496,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2018/00384 Issued on: 25-JUL-2018,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Basic,ForcepsPro-7981X,SLA - Delhi,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Surgical instruments used to extract teeth from the alveolar bone.,620,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
497,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2020/00604 Issued on: 23-OCT-2020,"Tooth Extraction Forceps, class type: Class A",Surgical instruments used to extract teeth from the alveolar bone.,ForcepsPro-Basic,ForcepsPro-8740,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Surgical instruments used to extract teeth from the alveolar bone.,1000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
498,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2018/00917 Issued on: 07-NOV-2018,"Ultrasonic Scaler, class type: Class B","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",ScalePro-Ultra,ScalePro-7520B,SLA - Karnataka,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",14000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
499,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2024/00492 Issued on: 22-JAN-2024,"Ultrasonic Scaler, class type: Class B","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",ScalePro-Basic,ScalePro-9022A,SLA - Delhi,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",12000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
500,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2024/00823 Issued on: 22-OCT-2024,"Ultrasonic Scaler, class type: Class B","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",ScalePro-Plus,ScalePro-4520X,SLA - Karnataka,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab","Uses high-frequency vibrations to remove plaque, calculus, and stains from teeth.",19000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
501,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2019/00179 Issued on: 03-SEP-2019,"Audiometer, class type: Class B",Evaluates hearing acuity and diagnoses hearing loss.,AudioTest-Pro,AudioTest-4288,SLA - Gujarat,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Evaluates hearing acuity and diagnoses hearing loss.,58000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
502,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2023/00218 Issued on: 07-DEC-2023,"Audiometer, class type: Class B",Evaluates hearing acuity and diagnoses hearing loss.,AudioTest-Ultra,AudioTest-1244,SLA - Karnataka,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Evaluates hearing acuity and diagnoses hearing loss.,110000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
503,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2019/00846 Issued on: 03-JUL-2019,"Audiometer, class type: Class B",Evaluates hearing acuity and diagnoses hearing loss.,AudioTest-Plus,AudioTest-2024X,SLA - Tamil Nadu,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Evaluates hearing acuity and diagnoses hearing loss.,110000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
504,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2023/00620 Issued on: 19-AUG-2023,"Audiometer, class type: Class B",Evaluates hearing acuity and diagnoses hearing loss.,AudioTest-X,AudioTest-2585,SLA - Delhi,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Evaluates hearing acuity and diagnoses hearing loss.,43000,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
505,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2019/00250 Issued on: 11-JAN-2019,"Blood Gas Analyzer, class type: Class C","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",GasLab-Elite,GasLab-1460,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",600000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
506,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2023/00430 Issued on: 15-SEP-2023,"Blood Gas Analyzer, class type: Class C","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",GasLab-Advance,GasLab-3796X,SLA - Maharashtra,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",480000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
507,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: MFG/MD/2023/00527 Issued on: 20-DEC-2023,"Blood Gas Analyzer, class type: Class C","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",GasLab-Pro,GasLab-9906X,SLA - Telangana,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",760000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
508,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2023/00608 Issued on: 27-JUN-2023,"Blood Gas Analyzer, class type: Class C","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",GasLab-Plus,GasLab-3268X,SLA - Telangana,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",420000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
509,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2021/00167 Issued on: 07-AUG-2021,"Blood Gas Analyzer, class type: Class C","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",GasLab-X,GasLab-9749B,SLA - Telangana,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra","Measures partial pressures of oxygen and carbon dioxide, as well as pH levels in blood.",460000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
